"Organization","Bartner Partner Value","BP Group Value","Bpartner Location ID","Sales Rep Name","Sales Region Name","Product Key","Category Name","Product Class ID ","Product Category ID","Product Group ID","Werehouse Value","Invoiced Qty","Price Invoiced","Total Inv Amt","Invoice Date","Cost Amt","Cost Total Amt","Campaing Value","Project","Phase Name"
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",2,25,50,01/01/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",3,25,75,01/01/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",6,25,150,01/02/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",4,25,100,10/02/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",2,25,50,03/03/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",3,25,75,15/03/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",5,25,125,01/04/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",4,25,100,22/04/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",3,25,75,01/05/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",1,25,25,21/05/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",7,25,175,01/06/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",8,25,200,18/06/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",5,25,125,07/07/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",3,25,75,21/07/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",4,25,100,01/08/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",5,25,125,14/08/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",6,25,150,01/09/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",8,25,200,26/09/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",5,25,125,12/10/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",6,25,150,16/10/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",4,25,100,03/11/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",3,25,75,08/11/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",7,25,175,05/12/2011,0,0,,,
"HQ","SeedFarm",,,"GardenAdmin",,"Oak","Trees",,,,"HQ",2,25,50,30/12/2011,0,0,,,
